	HAU.prot	JGIv1.prot	JGIv2.prot
OG0051776	Ghir_D05G039310.1		
OG0051777	Ghir_D05G039330.6		
OG0051778	Ghir_D05G039330.3		
OG0051779	Ghir_D05G039390.1		
OG0051780	Ghir_D05G039410.1		
OG0051781	Ghir_D05G039410.2		
OG0051782	Ghir_D05G039410.3		
OG0051783	Ghir_D05G039410.4		
OG0051784	Ghir_D05G039430.5		
OG0051785	Ghir_D05G039430.2		
OG0051786	Ghir_D05G039430.3		
OG0051787	Ghir_D05G039440.1		
OG0051788	Ghir_D05G039450.1		
OG0051789	Ghir_D06G000030.5		
OG0051790	Ghir_D06G000030.7		
OG0051791	Ghir_D06G000070.3		
OG0051792	Ghir_D06G000080.2		
OG0051793	Ghir_D06G000210.1		
OG0051794	Ghir_D06G000220.3		
OG0051795	Ghir_D06G000220.4		
OG0051796	Ghir_D06G000230.1		
OG0051797	Ghir_D06G000260.1		
OG0051798	Ghir_D06G000280.1		
OG0051799	Ghir_D06G000310.2		
OG0051800	Ghir_D06G000360.1		
OG0051801	Ghir_D06G000390.2		
OG0051802	Ghir_D06G000430.2		
OG0051803	Ghir_D06G000480.2		
OG0051804	Ghir_D06G000480.3		
OG0051805	Ghir_D06G000500.1		
OG0051806	Ghir_D06G000510.1		
OG0051807	Ghir_D06G000520.2		
OG0051808	Ghir_D06G000530.4		
OG0051809	Ghir_D06G000530.5		
OG0051810	Ghir_D06G000540.1		
OG0051811	Ghir_D06G000600.2		
OG0051812	Ghir_D06G000600.6		
OG0051813	Ghir_D06G000600.3		
OG0051814	Ghir_D06G000600.4		
OG0051815	Ghir_D06G000600.5		
OG0051816	Ghir_D06G000610.3		
OG0051817	Ghir_D06G000610.4		
OG0051818	Ghir_D06G000630.1		
OG0051819	Ghir_D06G000640.2		
OG0051820	Ghir_D06G000660.1		
OG0051821	Ghir_D06G000680.1		
OG0051822	Ghir_D06G000690.2		
OG0051823	Ghir_D06G000750.1		
OG0051824	Ghir_D06G000780.1		
OG0051825	Ghir_D06G000780.4		
OG0051826	Ghir_D06G000780.5		
OG0051827	Ghir_D06G000780.6		
OG0051828	Ghir_D06G000780.7		
OG0051829	Ghir_D06G000780.8		
OG0051830	Ghir_D06G000780.9		
OG0051831	Ghir_D06G000810.3		
OG0051832	Ghir_D06G000840.2		
OG0051833	Ghir_D06G000840.4		
OG0051834	Ghir_D06G000870.1		
OG0051835	Ghir_D06G000880.1		
OG0051836	Ghir_D06G000890.1		
OG0051837	Ghir_D06G001030.1		
OG0051838	Ghir_D06G001060.1		
OG0051839	Ghir_D06G001090.1		
OG0051840	Ghir_D06G001160.4		
OG0051841	Ghir_D06G001160.6		
OG0051842	Ghir_D06G001180.1		
OG0051843	Ghir_D06G001210.1		
OG0051844	Ghir_D06G001230.1		
OG0051845	Ghir_D06G001240.2		
OG0051846	Ghir_D06G001300.2		
OG0051847	Ghir_D06G001370.1		
OG0051848	Ghir_D06G001370.5		
OG0051849	Ghir_D06G001370.3		
OG0051850	Ghir_D06G001390.1		
OG0051851	Ghir_D06G001400.2		
OG0051852	Ghir_D06G001420.3		
OG0051853	Ghir_D06G001430.1		
OG0051854	Ghir_D06G001430.2		
OG0051855	Ghir_D06G001450.2		
OG0051856	Ghir_D06G001450.3		
OG0051857	Ghir_D06G001450.4		
OG0051858	Ghir_D06G001480.2		
OG0051859	Ghir_D06G001510.2		
OG0051860	Ghir_D06G001530.1		
OG0051861	Ghir_D06G001610.2		
OG0051862	Ghir_D06G001620.2		
OG0051863	Ghir_D06G001640.2		
OG0051864	Ghir_D06G001650.1		
OG0051865	Ghir_D06G001650.3		
OG0051866	Ghir_D06G001650.4		
OG0051867	Ghir_D06G001650.6		
OG0051868	Ghir_D06G001650.7		
OG0051869	Ghir_D06G001650.8		
OG0051870	Ghir_D06G001660.13		
OG0051871	Ghir_D06G001660.10		
OG0051872	Ghir_D06G001660.5		
OG0051873	Ghir_D06G001660.8		
OG0051874	Ghir_D06G001660.9		
OG0051875	Ghir_D06G001660.14		
OG0051876	Ghir_D06G001660.16		
OG0051877	Ghir_D06G001690.1		
OG0051878	Ghir_D06G001770.4		
OG0051879	Ghir_D06G001770.5		
OG0051880	Ghir_D06G001870.2		
OG0051881	Ghir_D06G001940.1		
OG0051882	Ghir_D06G001940.2		
OG0051883	Ghir_D06G001990.2		
OG0051884	Ghir_D06G002010.1		
OG0051885	Ghir_D06G002040.1		
OG0051886	Ghir_D06G002050.1		
OG0051887	Ghir_D06G002070.1		
OG0051888	Ghir_D06G002080.1		
OG0051889	Ghir_D06G002150.5		
OG0051890	Ghir_D06G002150.3		
OG0051891	Ghir_D06G002150.6		
OG0051892	Ghir_D06G002160.1		
OG0051893	Ghir_D06G002200.4		
OG0051894	Ghir_D06G002200.5		
OG0051895	Ghir_D06G002230.2		
OG0051896	Ghir_D06G002230.4		
OG0051897	Ghir_D06G002230.5		
OG0051898	Ghir_D06G002230.6		
OG0051899	Ghir_D06G002290.1		
OG0051900	Ghir_D06G002300.1		
OG0051901	Ghir_D06G002430.2		
OG0051902	Ghir_D06G002440.2		
OG0051903	Ghir_D06G002460.1		
OG0051904	Ghir_D06G002460.3		
OG0051905	Ghir_D06G002480.1		
OG0051906	Ghir_D06G002510.1		
OG0051907	Ghir_D06G002550.2		
OG0051908	Ghir_D06G002570.1		
OG0051909	Ghir_D06G002580.1		
OG0051910	Ghir_D06G002590.1		
OG0051911	Ghir_D06G002590.2		
OG0051912	Ghir_D06G002620.1		
OG0051913	Ghir_D06G002650.1		
OG0051914	Ghir_D06G002660.1		
OG0051915	Ghir_D06G002680.1		
OG0051916	Ghir_D06G002710.1		
OG0051917	Ghir_D06G002770.1		
OG0051918	Ghir_D06G002810.1		
OG0051919	Ghir_D06G002830.5		
OG0051920	Ghir_D06G002830.7		
OG0051921	Ghir_D06G002870.1		
OG0051922	Ghir_D06G002900.2		
OG0051923	Ghir_D06G002930.1		
OG0051924	Ghir_D06G002960.1		
OG0051925	Ghir_D06G003010.5		
OG0051926	Ghir_D06G003010.3		
OG0051927	Ghir_D06G003030.1		
OG0051928	Ghir_D06G003070.3		
OG0051929	Ghir_D06G003070.2		
OG0051930	Ghir_D06G003070.5		
OG0051931	Ghir_D06G003110.2		
OG0051932	Ghir_D06G003130.2		
OG0051933	Ghir_D06G003140.1		
OG0051934	Ghir_D06G003150.1		
OG0051935	Ghir_D06G003160.1		
OG0051936	Ghir_D06G003170.1		
OG0051937	Ghir_D06G003210.1		
OG0051938	Ghir_D06G003220.1		
OG0051939	Ghir_D06G003240.4		
OG0051940	Ghir_D06G003250.2		
OG0051941	Ghir_D06G003350.1		
OG0051942	Ghir_D06G003380.1		
OG0051943	Ghir_D06G003390.2		
OG0051944	Ghir_D06G003390.6		
OG0051945	Ghir_D06G003470.1		
OG0051946	Ghir_D06G003500.1		
OG0051947	Ghir_D06G003530.2		
OG0051948	Ghir_D06G003530.3		
OG0051949	Ghir_D06G003530.4		
OG0051950	Ghir_D06G003540.2		
OG0051951	Ghir_D06G003640.2		
OG0051952	Ghir_D06G003650.1		
OG0051953	Ghir_D06G003660.1		
OG0051954	Ghir_D06G003700.1		
OG0051955	Ghir_D06G003710.1		
OG0051956	Ghir_D06G003740.2		
OG0051957	Ghir_D06G003760.3		
OG0051958	Ghir_D06G003840.1		
OG0051959	Ghir_D06G003860.1		
OG0051960	Ghir_D06G003880.1		
OG0051961	Ghir_D06G003910.1		
OG0051962	Ghir_D06G003920.1		
OG0051963	Ghir_D06G003930.1		
OG0051964	Ghir_D06G004010.1		
OG0051965	Ghir_D06G004020.1		
OG0051966	Ghir_D06G004030.4		
OG0051967	Ghir_D06G004110.1		
OG0051968	Ghir_D06G004130.1		
OG0051969	Ghir_D06G004170.1		
OG0051970	Ghir_D06G004190.1		
OG0051971	Ghir_D06G004230.1		
OG0051972	Ghir_D06G004250.6		
OG0051973	Ghir_D06G004250.7		
OG0051974	Ghir_D06G004250.8		
OG0051975	Ghir_D06G004290.1		
OG0051976	Ghir_D06G004330.3		
OG0051977	Ghir_D06G004330.2		
OG0051978	Ghir_D06G004340.1		
OG0051979	Ghir_D06G004360.2		
OG0051980	Ghir_D06G004360.3		
OG0051981	Ghir_D06G004370.1		
OG0051982	Ghir_D06G004370.2		
OG0051983	Ghir_D06G004390.1		
OG0051984	Ghir_D06G004410.2		
OG0051985	Ghir_D06G004440.1		
OG0051986	Ghir_D06G004450.1		
OG0051987	Ghir_D06G004460.5		
OG0051988	Ghir_D06G004460.7		
OG0051989	Ghir_D06G004460.9		
OG0051990	Ghir_D06G004460.3		
OG0051991	Ghir_D06G004510.5		
OG0051992	Ghir_D06G004510.2		
OG0051993	Ghir_D06G004510.3		
OG0051994	Ghir_D06G004510.4		
OG0051995	Ghir_D06G004520.2		
OG0051996	Ghir_D06G004540.2		
OG0051997	Ghir_D06G004580.1		
OG0051998	Ghir_D06G004590.1		
OG0051999	Ghir_D06G004600.2		
OG0052000	Ghir_D06G004610.1		
OG0052001	Ghir_D06G004620.3		
OG0052002	Ghir_D06G004620.4		
OG0052003	Ghir_D06G004620.5		
OG0052004	Ghir_D06G004620.6		
OG0052005	Ghir_D06G004620.7		
OG0052006	Ghir_D06G004630.2		
OG0052007	Ghir_D06G004640.1		
OG0052008	Ghir_D06G004680.1		
OG0052009	Ghir_D06G004700.1		
OG0052010	Ghir_D06G004700.2		
OG0052011	Ghir_D06G004720.1		
OG0052012	Ghir_D06G004730.1		
OG0052013	Ghir_D06G004740.5		
OG0052014	Ghir_D06G004740.6		
OG0052015	Ghir_D06G004740.7		
OG0052016	Ghir_D06G004750.4		
OG0052017	Ghir_D06G004750.5		
OG0052018	Ghir_D06G004770.2		
OG0052019	Ghir_D06G004820.2		
OG0052020	Ghir_D06G004840.1		
OG0052021	Ghir_D06G004840.2		
OG0052022	Ghir_D06G004850.2		
OG0052023	Ghir_D06G004880.2		
OG0052024	Ghir_D06G004880.3		
OG0052025	Ghir_D06G004880.4		
OG0052026	Ghir_D06G004880.5		
OG0052027	Ghir_D06G004890.10		
OG0052028	Ghir_D06G004890.11		
OG0052029	Ghir_D06G004890.1		
OG0052030	Ghir_D06G004890.2		
OG0052031	Ghir_D06G004890.3		
OG0052032	Ghir_D06G004890.4		
OG0052033	Ghir_D06G004890.5		
OG0052034	Ghir_D06G004890.7		
OG0052035	Ghir_D06G004890.8		
OG0052036	Ghir_D06G004890.9		
OG0052037	Ghir_D06G004920.1		
OG0052038	Ghir_D06G004940.3		
OG0052039	Ghir_D06G004960.3		
OG0052040	Ghir_D06G004980.2		
OG0052041	Ghir_D06G004980.3		
OG0052042	Ghir_D06G005000.1		
OG0052043	Ghir_D06G005000.2		
OG0052044	Ghir_D06G005010.1		
OG0052045	Ghir_D06G005020.3		
OG0052046	Ghir_D06G005040.1		
OG0052047	Ghir_D06G005050.4		
OG0052048	Ghir_D06G005050.5		
OG0052049	Ghir_D06G005070.1		
OG0052050	Ghir_D06G005100.1		
OG0052051	Ghir_D06G005110.2		
OG0052052	Ghir_D06G005120.1		
OG0052053	Ghir_D06G005140.1		
OG0052054	Ghir_D06G005150.1		
OG0052055	Ghir_D06G005170.1		
OG0052056	Ghir_D06G005240.1		
OG0052057	Ghir_D06G005260.1		
OG0052058	Ghir_D06G005270.1		
OG0052059	Ghir_D06G005280.1		
OG0052060	Ghir_D06G005320.1		
OG0052061	Ghir_D06G005320.2		
OG0052062	Ghir_D06G005350.1		
OG0052063	Ghir_D06G005420.1		
OG0052064	Ghir_D06G005460.1		
OG0052065	Ghir_D06G005470.1		
OG0052066	Ghir_D06G005470.3		
OG0052067	Ghir_D06G005500.1		
OG0052068	Ghir_D06G005500.2		
OG0052069	Ghir_D06G005500.3		
OG0052070	Ghir_D06G005500.4		
OG0052071	Ghir_D06G005520.3		
OG0052072	Ghir_D06G005520.4		
OG0052073	Ghir_D06G005520.5		
OG0052074	Ghir_D06G005530.2		
OG0052075	Ghir_D06G005530.4		
OG0052076	Ghir_D06G005560.2		
OG0052077	Ghir_D06G005560.3		
OG0052078	Ghir_D06G005600.2		
OG0052079	Ghir_D06G005630.1		
OG0052080	Ghir_D06G005630.2		
OG0052081	Ghir_D06G005630.3		
OG0052082	Ghir_D06G005640.1		
OG0052083	Ghir_D06G005640.2		
OG0052084	Ghir_D06G005640.3		
OG0052085	Ghir_D06G005640.4		
OG0052086	Ghir_D06G005670.2		
OG0052087	Ghir_D06G005670.4		
OG0052088	Ghir_D06G005670.7		
OG0052089	Ghir_D06G005670.8		
OG0052090	Ghir_D06G005690.1		
OG0052091	Ghir_D06G005690.2		
OG0052092	Ghir_D06G005700.1		
OG0052093	Ghir_D06G005710.2		
OG0052094	Ghir_D06G005720.2		
OG0052095	Ghir_D06G005720.3		
OG0052096	Ghir_D06G005730.1		
OG0052097	Ghir_D06G005760.3		
OG0052098	Ghir_D06G005760.4		
OG0052099	Ghir_D06G005770.5		
OG0052100	Ghir_D06G005770.6		
OG0052101	Ghir_D06G005770.7		
OG0052102	Ghir_D06G005770.8		
OG0052103	Ghir_D06G005770.3		
OG0052104	Ghir_D06G005780.1		
OG0052105	Ghir_D06G005810.2		
OG0052106	Ghir_D06G005810.1		
OG0052107	Ghir_D06G005830.2		
OG0052108	Ghir_D06G005830.3		
OG0052109	Ghir_D06G005850.2		
OG0052110	Ghir_D06G005850.3		
OG0052111	Ghir_D06G005850.4		
OG0052112	Ghir_D06G005880.1		
OG0052113	Ghir_D06G005880.2		
OG0052114	Ghir_D06G005880.3		
OG0052115	Ghir_D06G005880.5		
OG0052116	Ghir_D06G005900.1		
OG0052117	Ghir_D06G005900.2		
OG0052118	Ghir_D06G005920.1		
OG0052119	Ghir_D06G005940.1		
OG0052120	Ghir_D06G005960.3		
OG0052121	Ghir_D06G005980.1		
OG0052122	Ghir_D06G006000.4		
OG0052123	Ghir_D06G006000.5		
OG0052124	Ghir_D06G006000.3		
OG0052125	Ghir_D06G006020.2		
OG0052126	Ghir_D06G006060.2		
OG0052127	Ghir_D06G006120.1		
OG0052128	Ghir_D06G006140.1		
OG0052129	Ghir_D06G006170.1		
OG0052130	Ghir_D06G006190.1		
OG0052131	Ghir_D06G006220.2		
OG0052132	Ghir_D06G006270.1		
OG0052133	Ghir_D06G006290.1		
OG0052134	Ghir_D06G006300.1		
OG0052135	Ghir_D06G006320.1		
OG0052136	Ghir_D06G006400.3		
OG0052137	Ghir_D06G006400.4		
OG0052138	Ghir_D06G006460.1		
OG0052139	Ghir_D06G006500.1		
OG0052140	Ghir_D06G006510.2		
OG0052141	Ghir_D06G006550.1		
OG0052142	Ghir_D06G006560.1		
OG0052143	Ghir_D06G006580.2		
OG0052144	Ghir_D06G006580.3		
OG0052145	Ghir_D06G006590.1		
OG0052146	Ghir_D06G006640.1		
OG0052147	Ghir_D06G006670.1		
OG0052148	Ghir_D06G006690.1		
OG0052149	Ghir_D06G006830.2		
OG0052150	Ghir_D06G006830.3		
OG0052151	Ghir_D06G006830.4		
OG0052152	Ghir_D06G006840.2		
OG0052153	Ghir_D06G006860.2		
OG0052154	Ghir_D06G006860.3		
OG0052155	Ghir_D06G006870.2		
OG0052156	Ghir_D06G006880.3		
OG0052157	Ghir_D06G006880.4		
OG0052158	Ghir_D06G006890.2		
OG0052159	Ghir_D06G006900.1		
OG0052160	Ghir_D06G006960.4		
OG0052161	Ghir_D06G007000.1		
OG0052162	Ghir_D06G007040.1		
OG0052163	Ghir_D06G007050.1		
OG0052164	Ghir_D06G007070.1		
OG0052165	Ghir_D06G007080.2		
OG0052166	Ghir_D06G007110.1		
OG0052167	Ghir_D06G007130.1		
OG0052168	Ghir_D06G007130.2		
OG0052169	Ghir_D06G007130.3		
OG0052170	Ghir_D06G007150.4		
OG0052171	Ghir_D06G007160.8		
OG0052172	Ghir_D06G007160.2		
OG0052173	Ghir_D06G007160.3		
OG0052174	Ghir_D06G007160.4		
OG0052175	Ghir_D06G007160.5		
OG0052176	Ghir_D06G007160.6		
OG0052177	Ghir_D06G007180.2		
OG0052178	Ghir_D06G007190.2		
OG0052179	Ghir_D06G007200.1		
OG0052180	Ghir_D06G007210.1		
OG0052181	Ghir_D06G007220.1		
OG0052182	Ghir_D06G007230.1		
OG0052183	Ghir_D06G007240.1		
OG0052184	Ghir_D06G007320.2		
OG0052185	Ghir_D06G007330.2		
OG0052186	Ghir_D06G007330.3		
OG0052187	Ghir_D06G007340.1		
OG0052188	Ghir_D06G007390.2		
OG0052189	Ghir_D06G007390.3		
OG0052190	Ghir_D06G007390.4		
OG0052191	Ghir_D06G007390.5		
OG0052192	Ghir_D06G007390.6		
OG0052193	Ghir_D06G007390.7		
OG0052194	Ghir_D06G007390.8		
OG0052195	Ghir_D06G007390.1		
OG0052196	Ghir_D06G007390.9		
OG0052197	Ghir_D06G007400.1		
OG0052198	Ghir_D06G007410.1		
OG0052199	Ghir_D06G007440.1		
OG0052200	Ghir_D06G007460.2		
OG0052201	Ghir_D06G007480.1		
OG0052202	Ghir_D06G007490.3		
OG0052203	Ghir_D06G007500.1		
OG0052204	Ghir_D06G007510.1		
OG0052205	Ghir_D06G007540.3		
OG0052206	Ghir_D06G007540.2		
OG0052207	Ghir_D06G007550.4		
OG0052208	Ghir_D06G007580.1		
OG0052209	Ghir_D06G007630.1		
OG0052210	Ghir_D06G007630.2		
OG0052211	Ghir_D06G007630.4		
OG0052212	Ghir_D06G007640.1		
OG0052213	Ghir_D06G007640.2		
OG0052214	Ghir_D06G007640.5		
OG0052215	Ghir_D06G007640.6		
OG0052216	Ghir_D06G007640.7		
OG0052217	Ghir_D06G007670.1		
OG0052218	Ghir_D06G007680.1		
OG0052219	Ghir_D06G007680.2		
OG0052220	Ghir_D06G007690.2		
OG0052221	Ghir_D06G007710.1		
OG0052222	Ghir_D06G007750.2		
OG0052223	Ghir_D06G007780.3		
OG0052224	Ghir_D06G007790.1		
OG0052225	Ghir_D06G007800.1		
OG0052226	Ghir_D06G007840.1		
OG0052227	Ghir_D06G007850.1		
OG0052228	Ghir_D06G007850.2		
OG0052229	Ghir_D06G007880.1		
OG0052230	Ghir_D06G007890.1		
OG0052231	Ghir_D06G007910.1		
OG0052232	Ghir_D06G007950.1		
OG0052233	Ghir_D06G007970.1		
OG0052234	Ghir_D06G008000.5		
OG0052235	Ghir_D06G008000.3		
OG0052236	Ghir_D06G008000.4		
OG0052237	Ghir_D06G008010.2		
OG0052238	Ghir_D06G008020.1		
OG0052239	Ghir_D06G008060.1		
OG0052240	Ghir_D06G008090.5		
OG0052241	Ghir_D06G008090.7		
OG0052242	Ghir_D06G008100.9		
OG0052243	Ghir_D06G008100.2		
OG0052244	Ghir_D06G008100.5		
OG0052245	Ghir_D06G008100.6		
OG0052246	Ghir_D06G008100.7		
OG0052247	Ghir_D06G008100.8		
OG0052248	Ghir_D06G008110.3		
OG0052249	Ghir_D06G008120.1		
OG0052250	Ghir_D06G008130.2		
OG0052251	Ghir_D06G008150.2		
OG0052252	Ghir_D06G008160.1		
OG0052253	Ghir_D06G008210.2		
OG0052254	Ghir_D06G008220.2		
OG0052255	Ghir_D06G008240.2		
OG0052256	Ghir_D06G008240.3		
OG0052257	Ghir_D06G008260.3		
OG0052258	Ghir_D06G008260.4		
OG0052259	Ghir_D06G008260.2		
OG0052260	Ghir_D06G008280.1		
OG0052261	Ghir_D06G008390.1		
OG0052262	Ghir_D06G008420.3		
OG0052263	Ghir_D06G008420.4		
OG0052264	Ghir_D06G008430.2		
OG0052265	Ghir_D06G008440.2		
OG0052266	Ghir_D06G008440.3		
OG0052267	Ghir_D06G008460.2		
OG0052268	Ghir_D06G008460.3		
OG0052269	Ghir_D06G008460.5		
OG0052270	Ghir_D06G008470.2		
OG0052271	Ghir_D06G008470.1		
OG0052272	Ghir_D06G008480.2		
OG0052273	Ghir_D06G008500.2		
OG0052274	Ghir_D06G008500.4		
OG0052275	Ghir_D06G008500.5		
OG0052276	Ghir_D06G008580.1		
OG0052277	Ghir_D06G008660.1		
OG0052278	Ghir_D06G008660.2		
OG0052279	Ghir_D06G008680.3		
OG0052280	Ghir_D06G008690.1		
OG0052281	Ghir_D06G008720.2		
OG0052282	Ghir_D06G008740.2		
OG0052283	Ghir_D06G008740.3		
OG0052284	Ghir_D06G008740.4		
OG0052285	Ghir_D06G008780.1		
OG0052286	Ghir_D06G008840.1		
OG0052287	Ghir_D06G008850.1		
OG0052288	Ghir_D06G008880.3		
OG0052289	Ghir_D06G008920.1		
OG0052290	Ghir_D06G009030.2		
OG0052291	Ghir_D06G009080.2		
OG0052292	Ghir_D06G009090.7		
OG0052293	Ghir_D06G009090.9		
OG0052294	Ghir_D06G009140.1		
OG0052295	Ghir_D06G009150.1		
OG0052296	Ghir_D06G009250.1		
OG0052297	Ghir_D06G009310.1		
OG0052298	Ghir_D06G009320.1		
OG0052299	Ghir_D06G009340.1		
OG0052300	Ghir_D06G009400.1		
OG0052301	Ghir_D06G009430.1		
OG0052302	Ghir_D06G009440.2		
OG0052303	Ghir_D06G009440.3		
OG0052304	Ghir_D06G009460.2		
OG0052305	Ghir_D06G009470.3		
OG0052306	Ghir_D06G009470.4		
OG0052307	Ghir_D06G009470.5		
OG0052308	Ghir_D06G009470.6		
OG0052309	Ghir_D06G009510.5		
OG0052310	Ghir_D06G009510.6		
OG0052311	Ghir_D06G009510.7		
OG0052312	Ghir_D06G009510.8		
OG0052313	Ghir_D06G009510.2		
OG0052314	Ghir_D06G009510.3		
OG0052315	Ghir_D06G009510.4		
OG0052316	Ghir_D06G009540.2		
OG0052317	Ghir_D06G009540.1		
OG0052318	Ghir_D06G009560.1		
OG0052319	Ghir_D06G009600.1		
OG0052320	Ghir_D06G009630.2		
OG0052321	Ghir_D06G009630.3		
OG0052322	Ghir_D06G009630.4		
OG0052323	Ghir_D06G009630.5		
OG0052324	Ghir_D06G009640.1		
OG0052325	Ghir_D06G009660.1		
OG0052326	Ghir_D06G009670.2		
OG0052327	Ghir_D06G009680.14		
OG0052328	Ghir_D06G009680.15		
OG0052329	Ghir_D06G009680.16		
OG0052330	Ghir_D06G009680.17		
OG0052331	Ghir_D06G009680.18		
OG0052332	Ghir_D06G009680.11		
OG0052333	Ghir_D06G009680.12		
OG0052334	Ghir_D06G009680.9		
OG0052335	Ghir_D06G009680.1		
OG0052336	Ghir_D06G009680.2		
OG0052337	Ghir_D06G009680.3		
OG0052338	Ghir_D06G009680.5		
OG0052339	Ghir_D06G009680.7		
OG0052340	Ghir_D06G009690.1		
OG0052341	Ghir_D06G009700.1		
OG0052342	Ghir_D06G009750.1		
OG0052343	Ghir_D06G009790.1		
OG0052344	Ghir_D06G009830.2		
OG0052345	Ghir_D06G009840.1		
OG0052346	Ghir_D06G009840.2		
OG0052347	Ghir_D06G009840.4		
OG0052348	Ghir_D06G009840.5		
OG0052349	Ghir_D06G009860.1		
OG0052350	Ghir_D06G009870.1		
OG0052351	Ghir_D06G009890.1		
OG0052352	Ghir_D06G009910.1		
OG0052353	Ghir_D06G009910.3		
OG0052354	Ghir_D06G009910.5		
OG0052355	Ghir_D06G009940.1		
OG0052356	Ghir_D06G009950.1		
OG0052357	Ghir_D06G009970.2		
OG0052358	Ghir_D06G009970.3		
OG0052359	Ghir_D06G009990.1		
OG0052360	Ghir_D06G010010.1		
OG0052361	Ghir_D06G010020.2		
OG0052362	Ghir_D06G010030.1		
OG0052363	Ghir_D06G010110.2		
OG0052364	Ghir_D06G010140.1		
OG0052365	Ghir_D06G010180.1		
OG0052366	Ghir_D06G010180.2		
OG0052367	Ghir_D06G010180.3		
OG0052368	Ghir_D06G010180.4		
OG0052369	Ghir_D06G010180.5		
OG0052370	Ghir_D06G010180.6		
OG0052371	Ghir_D06G010180.7		
OG0052372	Ghir_D06G010180.8		
OG0052373	Ghir_D06G010180.10		
OG0052374	Ghir_D06G010180.11		
OG0052375	Ghir_D06G010180.12		
OG0052376	Ghir_D06G010180.9		
OG0052377	Ghir_D06G010250.1		
OG0052378	Ghir_D06G010290.1		
OG0052379	Ghir_D06G010300.1		
OG0052380	Ghir_D06G010310.2		
OG0052381	Ghir_D06G010330.2		
OG0052382	Ghir_D06G010380.1		
OG0052383	Ghir_D06G010400.1		
OG0052384	Ghir_D06G010400.2		
OG0052385	Ghir_D06G010410.2		
OG0052386	Ghir_D06G010420.1		
OG0052387	Ghir_D06G010440.1		
OG0052388	Ghir_D06G010510.1		
OG0052389	Ghir_D06G010550.2		
OG0052390	Ghir_D06G010570.1		
OG0052391	Ghir_D06G010580.1		
OG0052392	Ghir_D06G010600.1		
OG0052393	Ghir_D06G010600.2		
OG0052394	Ghir_D06G010600.3		
OG0052395	Ghir_D06G010620.2		
OG0052396	Ghir_D06G010640.3		
OG0052397	Ghir_D06G010690.2		
OG0052398	Ghir_D06G010700.8		
OG0052399	Ghir_D06G010700.3		
OG0052400	Ghir_D06G010770.1		
OG0052401	Ghir_D06G010780.1		
OG0052402	Ghir_D06G010790.2		
OG0052403	Ghir_D06G010860.1		
OG0052404	Ghir_D06G010890.1		
OG0052405	Ghir_D06G010890.2		
OG0052406	Ghir_D06G010900.1		
OG0052407	Ghir_D06G010920.1		
OG0052408	Ghir_D06G010940.2		
OG0052409	Ghir_D06G010940.3		
OG0052410	Ghir_D06G010940.4		
OG0052411	Ghir_D06G010950.4		
OG0052412	Ghir_D06G010950.2		
OG0052413	Ghir_D06G010950.3		
OG0052414	Ghir_D06G010960.1		
OG0052415	Ghir_D06G010990.3		
OG0052416	Ghir_D06G011000.3		
OG0052417	Ghir_D06G011000.1		
OG0052418	Ghir_D06G011000.2		
OG0052419	Ghir_D06G011020.2		
OG0052420	Ghir_D06G011020.3		
OG0052421	Ghir_D06G011020.4		
OG0052422	Ghir_D06G011030.2		
OG0052423	Ghir_D06G011030.4		
OG0052424	Ghir_D06G011080.1		
OG0052425	Ghir_D06G011110.1		
OG0052426	Ghir_D06G011160.1		
OG0052427	Ghir_D06G011170.1		
OG0052428	Ghir_D06G011180.4		
OG0052429	Ghir_D06G011200.3		
OG0052430	Ghir_D06G011200.1		
OG0052431	Ghir_D06G011210.4		
OG0052432	Ghir_D06G011210.5		
OG0052433	Ghir_D06G011210.2		
OG0052434	Ghir_D06G011310.1		
OG0052435	Ghir_D06G011320.3		
OG0052436	Ghir_D06G011320.1		
OG0052437	Ghir_D06G011330.3		
OG0052438	Ghir_D06G011350.1		
OG0052439	Ghir_D06G011360.1		
OG0052440	Ghir_D06G011400.1		
OG0052441	Ghir_D06G011420.1		
OG0052442	Ghir_D06G011440.1		
OG0052443	Ghir_D06G011470.2		
OG0052444	Ghir_D06G011480.1		
OG0052445	Ghir_D06G011490.3		
OG0052446	Ghir_D06G011490.1		
OG0052447	Ghir_D06G011490.2		
OG0052448	Ghir_D06G011510.1		
OG0052449	Ghir_D06G011510.3		
OG0052450	Ghir_D06G011510.4		
OG0052451	Ghir_D06G011510.5		
OG0052452	Ghir_D06G011530.2		
OG0052453	Ghir_D06G011570.1		
OG0052454	Ghir_D06G011610.1		
OG0052455	Ghir_D06G011620.2		
OG0052456	Ghir_D06G011640.1		
OG0052457	Ghir_D06G011660.1		
OG0052458	Ghir_D06G011680.1		
OG0052459	Ghir_D06G011690.1		
OG0052460	Ghir_D06G011710.1		
OG0052461	Ghir_D06G011750.3		
OG0052462	Ghir_D06G011750.5		
OG0052463	Ghir_D06G011750.6		
OG0052464	Ghir_D06G011750.8		
OG0052465	Ghir_D06G011750.1		
OG0052466	Ghir_D06G011830.3		
OG0052467	Ghir_D06G011850.2		
OG0052468	Ghir_D06G011850.3		
OG0052469	Ghir_D06G011850.6		
OG0052470	Ghir_D06G011850.8		
OG0052471	Ghir_D06G011850.9		
OG0052472	Ghir_D06G011850.10		
OG0052473	Ghir_D06G011860.1		
